Locations {
 l95 781.2510782078956 532.9451125202052;
 l96 14.906396639083397 28.267402390196057;
 l97 152.07461923304285 318.8441538643264;
 l98 49.311152911109325 466.92283512981743;
 l99 205.4575624952363 696.4347995897801;
}
Links {
l0 l96 10.0;
l1 l17 10.0;
l1 l48 10.0;
l1 l49 10.0;
l1 l81 10.0;
l10 l15 10.0;
l10 l26 10.0;
l10 l27 10.0;
l10 l30 10.0;
l10 l43 10.0;
l10 l46 10.0;
l10 l58 10.0;
l10 l59 10.0;
l10 l62 10.0;
l10 l63 10.0;
l10 l75 10.0;
l10 l78 10.0;
l10 l79 10.0;
l10 l94 10.0;
l10 l95 10.0;
l11 l43 10.0;
l11 l47 10.0;
l11 l75 10.0;
l11 l87 10.0;
l12 l28 10.0;
l12 l44 10.0;
l12 l60 10.0;
l12 l76 10.0;
l13 l14 10.0;
l13 l29 10.0;
l13 l45 10.0;
l13 l61 10.0;
l13 l93 10.0;
l14 l29 10.0;
l14 l30 10.0;
l14 l31 10.0;
l14 l45 10.0;
l14 l78 10.0;
l14 l94 10.0;
l14 l95 10.0;
l15 l31 10.0;
l15 l43 10.0;
l15 l47 10.0;
l15 l63 10.0;
l15 l79 10.0;
l15 l95 10.0;
l16 l32 10.0;
l16 l64 10.0;
l16 l80 10.0;
l17 l48 10.0;
l17 l49 10.0;
l17 l81 10.0;
l18 l2 10.0;
l18 l5 10.0;
l18 l50 10.0;
l18 l65 10.0;
l18 l97 10.0;
l19 l35 10.0;
l19 l39 10.0;
l19 l55 10.0;
l19 l7 10.0;
l19 l83 10.0;
l19 l99 10.0;
l2 l22 10.0;
l2 l38 10.0;
l2 l5 10.0;
l2 l50 10.0;
l2 l6 10.0;
l2 l65 10.0;
l2 l82 10.0;
l2 l97 10.0;
l20 l32 10.0;
l20 l33 10.0;
l20 l4 10.0;
l20 l49 10.0;
l20 l52 10.0;
l20 l68 10.0;
l20 l84 10.0;
l21 l22 10.0;
l21 l37 10.0;
l21 l38 10.0;
l21 l5 10.0;
l21 l53 10.0;
l21 l6 10.0;
l21 l70 10.0;
l22 l38 10.0;
l22 l5 10.0;
l22 l53 10.0;
l22 l6 10.0;
l22 l70 10.0;
l23 l39 10.0;
l23 l54 10.0;
l23 l86 10.0;
l23 l87 10.0;
l24 l40 10.0;
l24 l56 10.0;
l24 l72 10.0;
l24 l8 10.0;
l24 l84 10.0;
l24 l88 10.0;
l25 l57 10.0;
l25 l72 10.0;
l25 l8 10.0;
l26 l42 10.0;
l26 l58 10.0;
l26 l73 10.0;
l26 l74 10.0;
l26 l86 10.0;
l26 l9 10.0;
l26 l90 10.0;
l27 l59 10.0;
l27 l75 10.0;
l27 l87 10.0;
l27 l91 10.0;
l28 l44 10.0;
l28 l60 10.0;
l28 l61 10.0;
l28 l72 10.0;
l28 l76 10.0;
l28 l77 10.0;
l28 l92 10.0;
l29 l45 10.0;
l29 l61 10.0;
l3 l34 10.0;
l3 l50 10.0;
l3 l51 10.0;
l3 l67 10.0;
l3 l82 10.0;
l3 l83 10.0;
l3 l98 10.0;
l30 l31 10.0;
l30 l62 10.0;
l30 l78 10.0;
l30 l94 10.0;
l30 l95 10.0;
l31 l47 10.0;
l31 l63 10.0;
l31 l78 10.0;
l31 l79 10.0;
l31 l94 10.0;
l31 l95 10.0;
l32 l4 10.0;
l32 l52 10.0;
l32 l64 10.0;
l32 l68 10.0;
l32 l80 10.0;
l32 l84 10.0;
l33 l37 10.0;
l33 l49 10.0;
l33 l69 10.0;
l33 l84 10.0;
l33 l85 10.0;
l34 l50 10.0;
l34 l66 10.0;
l34 l67 10.0;
l34 l82 10.0;
l34 l83 10.0;
l34 l98 10.0;
l35 l51 10.0;
l35 l7 10.0;
l35 l83 10.0;
l35 l99 10.0;
l36 l37 10.0;
l36 l69 10.0;
l36 l84 10.0;
l36 l85 10.0;
l37 l5 10.0;
l37 l53 10.0;
l37 l6 10.0;
l37 l69 10.0;
l37 l84 10.0;
l37 l85 10.0;
l38 l5 10.0;
l38 l54 10.0;
l38 l6 10.0;
l38 l70 10.0;
l39 l54 10.0;
l39 l55 10.0;
l39 l7 10.0;
l39 l71 10.0;
l39 l87 10.0;
l4 l52 10.0;
l4 l68 10.0;
l4 l84 10.0;
l40 l56 10.0;
l40 l8 10.0;
l40 l84 10.0;
l40 l88 10.0;
l41 l42 10.0;
l41 l89 10.0;
l42 l58 10.0;
l42 l86 10.0;
l42 l89 10.0;
l42 l90 10.0;
l43 l47 10.0;
l43 l59 10.0;
l43 l63 10.0;
l43 l75 10.0;
l43 l79 10.0;
l44 l60 10.0;
l44 l76 10.0;
l44 l77 10.0;
l44 l92 10.0;
l45 l61 10.0;
l45 l93 10.0;
l46 l58 10.0;
l46 l62 10.0;
l46 l74 10.0;
l46 l93 10.0;
l47 l63 10.0;
l47 l75 10.0;
l47 l79 10.0;
l48 l49 10.0;
l49 l85 10.0;
l5 l53 10.0;
l5 l6 10.0;
l5 l65 10.0;
l5 l85 10.0;
l5 l97 10.0;
l50 l65 10.0;
l50 l7 10.0;
l50 l82 10.0;
l50 l98 10.0;
l51 l67 10.0;
l51 l83 10.0;
l52 l68 10.0;
l52 l84 10.0;
l53 l6 10.0;
l54 l7 10.0;
l54 l70 10.0;
l54 l86 10.0;
l54 l87 10.0;
l55 l7 10.0;
l55 l71 10.0;
l55 l83 10.0;
l55 l87 10.0;
l55 l99 10.0;
l56 l72 10.0;
l56 l8 10.0;
l56 l88 10.0;
l56 l92 10.0;
l57 l72 10.0;
l57 l8 10.0;
l58 l59 10.0;
l58 l62 10.0;
l58 l74 10.0;
l58 l90 10.0;
l59 l63 10.0;
l59 l75 10.0;
l59 l79 10.0;
l59 l87 10.0;
l59 l91 10.0;
l6 l70 10.0;
l60 l76 10.0;
l60 l77 10.0;
l61 l72 10.0;
l61 l77 10.0;
l61 l93 10.0;
l62 l93 10.0;
l63 l79 10.0;
l64 l80 10.0;
l65 l97 10.0;
l66 l81 10.0;
l66 l82 10.0;
l66 l98 10.0;
l67 l83 10.0;
l67 l98 10.0;
l68 l84 10.0;
l69 l84 10.0;
l69 l85 10.0;
l7 l83 10.0;
l7 l87 10.0;
l70 l86 10.0;
l71 l83 10.0;
l71 l87 10.0;
l71 l99 10.0;
l72 l73 10.0;
l72 l74 10.0;
l72 l8 10.0;
l72 l9 10.0;
l72 l90 10.0;
l72 l92 10.0;
l72 l93 10.0;
l73 l9 10.0;
l73 l93 10.0;
l74 l90 10.0;
l74 l93 10.0;
l75 l79 10.0;
l75 l87 10.0;
l76 l92 10.0;
l78 l94 10.0;
l78 l95 10.0;
l8 l84 10.0;
l8 l88 10.0;
l80 l96 10.0;
l81 l97 10.0;
l82 l83 10.0;
l82 l98 10.0;
l83 l98 10.0;
l83 l99 10.0;
l84 l85 10.0;
l84 l88 10.0;
l86 l87 10.0;
l86 l91 10.0;
l87 l91 10.0;
l87 l99 10.0;
l9 l90 10.0;
l9 l93 10.0;
l90 l93 10.0;
l94 l95 10.0;
}
Robots{
 r0 l77;
}
Boxes{
 b0 l22;
 b1 l68;
 b2 l95;
}
Goal{
  b0 l73;
  b1 l69;
  b2 l25;
}

